TABLE_NAME,LRF_SCHEMA,TABLE_SCHEMA_MAPPINGS,NEED_VALIDATION,PARSING_ERROR,ADD_UPDT_DT,ADD_LOAD_DT,FUNCTION_MAPPINGS
qltrcs_srvy_prep,"case_id,resp_id,lang_cd,end_dt_tm,feed_back_txt,ovral_rep_stsfn_desc,knlg_and_exprts_desc,req_rsol_ind,agnt_id,topic_desc,sb_topic_desc,case_sts,bus_unit_nm,srv_lvl_type,enge_type,otcm_txt","{""case_id"": ""case_id"", ""resp_id"": ""resp_id"", ""lang_cd"": ""lang_cd"", ""end_dt_tm"": ""end_dt_tm"", ""feed_back_txt"": ""feed_back_txt"", ""ovral_rep_stsfn_desc"": ""ovral_rep_stsfn_desc"", ""knlg_and_exprts_desc"": ""knlg_and_exprts_desc"", ""req_rsol_ind"": ""req_rsol_ind"", ""agnt_id"": ""agnt_id"", ""topic_desc"": ""topic_desc"", ""sb_topic_desc"": ""sb_topic_desc"", ""case_sts"": ""case_sts"", ""bus_unit_nm"": ""bus_unit_nm"", ""srv_lvl_type"": ""srv_lvl_type"", ""enge_type"": ""enge_type"", ""otcm_txt"": ""otcm_txt""}",No,,No,Yes,"{""lang_cd"": ""substr(1,2)"", ""srv_lvl_type"": ""substr(1,2)""}"
iex_actvt_cd_map_prep,"c_oid,cust_nm,cust_id,prtn_nm,actvt_cd_nm,util_grp,ot_ind,excs_time_ind,iex_cntrlble_ind,opn_ind,unon_ind,trng_ind,start_dt,end_dt,rsrvd_1_txt,rsrvd_2_txt,rsrvd_3_txt,rsrvd_4_txt,rsrvd_5_txt,rsrvd_6_txt,rsrvd_7_txt,rsrvd_8_txt,rsrvd_9_txt,rsrvd_10_txt","{""c_oid"": ""c_oid"", ""cust_nm"": ""cust_nm"", ""cust_id"": ""cust_id"", ""prtn_nm"": ""prtn_nm"", ""actvt_cd_nm"": ""actvt_cd_nm"", ""util_grp"": ""util_grp"", ""ot_ind"": ""ot_ind"", ""excs_time_ind"": ""excs_time_ind"", ""iex_cntrlble_ind"": ""iex_cntrlble_ind"", ""opn_ind"": ""opn_ind"", ""unon_ind"": ""unon_ind"", ""trng_ind"": ""trng_ind"", ""start_dt"": ""start_dt"", ""end_dt"": ""end_dt"", ""rsrvd_1_txt"": ""rsrvd_1_txt"", ""rsrvd_2_txt"": ""rsrvd_2_txt"", ""rsrvd_3_txt"": ""rsrvd_3_txt"", ""rsrvd_4_txt"": ""rsrvd_4_txt"", ""rsrvd_5_txt"": ""rsrvd_5_txt"", ""rsrvd_6_txt"": ""rsrvd_6_txt"", ""rsrvd_7_txt"": ""rsrvd_7_txt"", ""rsrvd_8_txt"": ""rsrvd_8_txt"", ""rsrvd_9_txt"": ""rsrvd_9_txt"", ""rsrvd_10_txt"": ""rsrvd_10_txt""}",No,,No,Yes,{}
retail_ivr_prep,"calls,call_id,start_dt_tm,ani,phon_nbr_etr,verint_id,ct_conv_dt,ct_conv_dy,ct_conv_tm,ct_conv_hr,dnis_cat,dnis_cat_grp,app,sb_app,trnfr_flg,otcm,exit_cd,rgn,mkt,spkn_lang,rtl_fnl_store_id,rtl_fnl_store_nm,rtl_fnl_store_type,rtl_otcm,init_main_menu_sel,fnl_main_menu_sel,nbr_of_rtry","{""calls"": ""calls"", ""call_id"": ""call_id"", ""start_dt_tm"": ""start_dt_tm"", ""ani"": ""ani"", ""phon_nbr_etr"": ""phon_nbr_etr"", ""verint_id"": ""verint_id"", ""ct_conv_dt"": ""ct_conv_dt"", ""ct_conv_dy"": ""ct_conv_dy"", ""ct_conv_tm"": ""ct_conv_tm"", ""ct_conv_hr"": ""ct_conv_hr"", ""dnis_cat"": ""dnis_cat"", ""dnis_cat_grp"": ""dnis_cat_grp"", ""app"": ""app"", ""sb_app"": ""sb_app"", ""trnfr_flg"": ""trnfr_flg"", ""otcm"": ""otcm"", ""exit_cd"": ""exit_cd"", ""rgn"": ""rgn"", ""mkt"": ""mkt"", ""spkn_lang"": ""spkn_lang"", ""rtl_fnl_store_id"": ""rtl_fnl_store_id"", ""rtl_fnl_store_nm"": ""rtl_fnl_store_nm"", ""rtl_fnl_store_type"": ""rtl_fnl_store_type"", ""rtl_otcm"": ""rtl_otcm"", ""init_main_menu_sel"": ""init_main_menu_sel"", ""fnl_main_menu_sel"": ""fnl_main_menu_sel"", ""nbr_of_rtry"": ""nbr_of_rtry""}",No,,No,Yes,"{""call_id"": ""trim"", ""start_dt_tm"": ""to_timestamp(E3BMMMBDDBYYBHH:MI:SS))"", ""verint_id"": ""trim"", ""ct_conv_dt"": ""to_date(DD-MON-YY)"", ""ct_conv_dy"": ""trim"", ""ct_conv_tm"": ""to_timestamp(hh:mi:ss)"", ""dnis_cat"": ""trim"", ""dnis_cat_grp"": ""trim"", ""app"": ""trim"", ""sb_app"": ""trim"", ""trnfr_flg"": ""trim"", ""otcm"": ""trim"", ""exit_cd"": ""trim"", ""rgn"": ""trim"", ""mkt"": ""trim"", ""spkn_lang"": ""trim"", ""rtl_fnl_store_id"": ""trim"", ""rtl_fnl_store_nm"": ""trim"", ""rtl_fnl_store_type"": ""trim"", ""rtl_otcm"": ""trim"", ""init_main_menu_sel"": ""trim"", ""fnl_main_menu_sel"": ""trim""}"
iex_inbnd_tm_dtv_prep,"ctrl_dt,cust_nm,cust_id,prtn_nm,acd_id,acd_nm,pbx_key,tmzn_val,src_rep_id,extrnl_id,lgn_id,rep_nm,prsn,sen_dt,altrnt_sen_dt,mgt_unit_id,mgt_unit_nm,prsnl_id,dspt_splt_cd,pbx_skl,ct_dt,start_dt,act_aht_sec,tlk_tm_val,hd_tm_val,aswr_call_cnt,acw_tm_val,src_load_dt,src_data_dt,src_updt_dt","{""ctrl_dt"": ""ctrl_dt"", ""cust_nm"": ""cust_nm"", ""cust_id"": ""cust_id"", ""prtn_nm"": ""prtn_nm"", ""acd_id"": ""acd_id"", ""acd_nm"": ""acd_nm"", ""pbx_key"": ""pbx_key"", ""tmzn_val"": ""tmzn_val"", ""src_rep_id"": ""src_rep_id"", ""extrnl_id"": ""extrnl_id"", ""lgn_id"": ""lgn_id"", ""rep_nm"": ""rep_nm"", ""prsn"": ""prsn"", ""sen_dt"": ""sen_dt"", ""altrnt_sen_dt"": ""altrnt_sen_dt"", ""mgt_unit_id"": ""mgt_unit_id"", ""mgt_unit_nm"": ""mgt_unit_nm"", ""prsnl_id"": ""prsnl_id"", ""dspt_splt_cd"": ""dspt_splt_cd"", ""pbx_skl"": ""pbx_skl"", ""ct_dt"": ""ct_dt"", ""start_dt"": ""start_dt"", ""act_aht_sec"": ""act_aht_sec"", ""tlk_tm_val"": ""tlk_tm_val"", ""hd_tm_val"": ""hd_tm_val"", ""aswr_call_cnt"": ""aswr_call_cnt"", ""acw_tm_val"": ""acw_tm_val"", ""src_load_dt"": ""src_load_dt"", ""src_data_dt"": ""src_data_dt"", ""src_updt_dt"": ""src_updt_dt""}",No,,No,Yes,"{""ct_dt"": ""to_timestamp(yyyy-mm-dd)"", ""src_load_dt"": ""to_timestamp(yyyy-mm-dd)"", ""src_updt_dt"": ""to_timestamp(yyyy-mm-dd)""}"
ccpm_wrd_sls_ord_hdr_prep,"record_type,order_id,src_ord_id,src_ord_type,src_ord_status_cd,src_acct_id,contact_id,src_disc_reason_cd,src_cancel_reason_cd,src_post_dt,src_due_dt,batch_process_dt,issue_dt,cancel_dt,completion_dt,post_dt,ord_status_cd,order_sales_cd,region,state_cd,order_type,bill_nm,feed_cd,source_feed_id,btn,cust_cd,joint_bill_ind,anchor_affiliate_type_cd,supersede_ind,digital_life_ind,customer_type_cd,migration_ind,creation_application,hdr_audit_trail_create_dt,hdr_audit_trail_update_dt,first_open_month,audit_trail_create_dt,eml_addr,src_effbill_dt,xref_order_id,xref_order_type,c_plus_minus,order_creator_attuid,billing_account_nbr,trial_start_dt,trial_end_dt,billing_start_dt,billing_end_dt,nffl_ind,cmn_ord_id,CONTRCT_ID,BRE_START_DT,BRE_END_DT,DVC_ACTVTN_DT","{""order_id"": ""ord_id"", ""src_ord_id"": ""src_sys_srv_ord_id"", ""src_ord_type"": ""src_sys_ord_type_cd"", ""src_ord_status_cd"": ""src_sys_ord_sts_cd"", ""src_acct_id"": ""src_acct_id"", ""contact_id"": ""contct_id"", ""src_disc_reason_cd"": ""src_sys_disc_rsn_cd"", ""src_cancel_reason_cd"": ""src_sys_cxl_rsn_cd"", ""src_post_dt"": ""src_sys_postd_dt"", ""src_due_dt"": ""src_sys_due_dt"", ""batch_process_dt"": ""batch_procs_dt"", ""issue_dt"": ""srv_ord_isu_dt"", ""cancel_dt"": ""ord_cxl_dt"", ""completion_dt"": ""ord_compl_dt"", ""post_dt"": ""batch_postd_dt"", ""ord_status_cd"": ""ord_sts_cd"", ""order_sales_cd"": ""ord_sls_cd"", ""region"": ""rgn_cd"", ""state_cd"": ""srv_addr_st_cd"", ""order_type"": ""ord_type_cd"", ""bill_nm"": ""cust_bl_nm"", ""feed_cd"": ""src_sys_cd"", ""source_feed_id"": ""src_sys_id"", ""btn"": ""btn"", ""cust_cd"": ""cust_cd"", ""joint_bill_ind"": ""jnt_bl_ind"", ""anchor_affiliate_type_cd"": ""anhr_aflt_type_cd"", ""supersede_ind"": ""supsd_ind"", ""digital_life_ind"": ""digl_life_ind"", ""customer_type_cd"": ""cust_type_cd"", ""migration_ind"": ""migr_ind"", ""creation_application"": ""crtn_app_nm"", ""hdr_audit_trail_create_dt"": ""ccpm_mtrc_create_dt"", ""hdr_audit_trail_update_dt"": ""ccpm_updt_dt"", ""first_open_month"": ""ccpm_opn_mnth_nbr"", ""eml_addr"": ""eml_addr"", ""src_effbill_dt"": ""srv_ord_eff_bill_dt"", ""xref_order_id"": ""xref_ord_id"", ""xref_order_type"": ""xref_ord_type"", ""c_plus_minus"": ""c_plus_minus"", ""order_creator_attuid"": ""ord_crtr_attuid"", ""billing_account_nbr"": ""ban"", ""trial_start_dt"": ""trial_start_dt"", ""trial_end_dt"": ""trial_end_dt"", ""billing_start_dt"": ""blng_start_dt"", ""billing_end_dt"": ""blng_end_dt"", ""nffl_ind"": ""nffl_ind"", ""cmn_ord_id"": ""cmn_ord_id"", ""CONTRCT_ID"": ""CONTRCT_ID"", ""BRE_START_DT"": ""BRE_START_DT"", ""BRE_END_DT"": ""BRE_END_DT"", ""DVC_ACTVTN_DT"": ""DVC_ACTVTN_DT""}",Yes,,No,Yes,"{""src_sys_postd_dt"": ""to_date(MM/DD/YYYY)"", ""src_sys_due_dt"": ""to_date(MM/DD/YYYY)"", ""batch_procs_dt"": ""to_date(MM/DD/YYYY)"", ""srv_ord_isu_dt"": ""to_date(MM/DD/YYYY)"", ""ord_cxl_dt"": ""to_date(MM/DD/YYYY)"", ""ord_compl_dt"": ""to_date(MM/DD/YYYY)"", ""batch_postd_dt"": ""to_date(MM/DD/YYYY)"", ""btn"": ""CASEWHEN(POSITION(INTRIM(:btn)>0)OR(UPPER(TRIM(:btn)(CASESPECIFIC)<>LOWER(TRIM(:btn)(CASESPECIFIC)THEN-1ELSE:btnEND(DECIMAL(22,0)"", ""ccpm_mtrc_create_dt"": ""to_date(MM/DD/YYYY)"", ""ccpm_updt_dt"": ""to_date(MM/DD/YYYY)"", ""srv_ord_eff_bill_dt"": ""to_date(MM/DD/YYYY)"", ""trial_start_dt"": ""to_date(MM/DD/YYYY)"", ""trial_end_dt"": ""to_date(MM/DD/YYYY)"", ""blng_start_dt"": ""to_date(MM/DD/YYYY)"", ""blng_end_dt"": ""to_date(MM/DD/YYYY)"", ""BRE_START_DT"": ""to_date(MM/DD/YYYY)"", ""BRE_END_DT"": ""to_date(MM/DD/YYYY)"", ""DVC_ACTVTN_DT"": ""to_date(MM/DD/YYYY)""}"
iex_schd_dtv_prep,"ctrl_dt,src_load_ts,cust_nm,prtn_nm,cust_id,c_agnt_schd,c_excpt,mgt_unit_id,mgt_unit_nm,src_rep_id,lgn_id,prsn,rep_nm,sen_dt,altrnt_sen_dt,extrn_id,prsnl_id,excpt_oid,excpt_lngth,actvt_nm,agnt_c_oid,asa_c_oid,c_nm,util_grp,ot_ind,excs_time_ind,iex_cntrlble_ind,opn_ind,unon_ind,trng_ind,shft_start_tm,shft_end_tm,actvt_start_tm,actvt_end_tm,excl_ind,src_updt_ts,src_data_dt","{""ctrl_dt"": ""ctrl_dt"", ""src_load_ts"": ""src_load_ts"", ""cust_nm"": ""cust_nm"", ""prtn_nm"": ""prtn_nm"", ""cust_id"": ""cust_id"", ""c_agnt_schd"": ""c_agnt_schd"", ""c_excpt"": ""c_excpt"", ""mgt_unit_id"": ""mgt_unit_id"", ""mgt_unit_nm"": ""mgt_unit_nm"", ""src_rep_id"": ""src_rep_id"", ""lgn_id"": ""lgn_id"", ""prsn"": ""prsn"", ""rep_nm"": ""rep_nm"", ""sen_dt"": ""sen_dt"", ""altrnt_sen_dt"": ""altrnt_sen_dt"", ""extrn_id"": ""extrn_id"", ""prsnl_id"": ""prsnl_id"", ""excpt_oid"": ""excpt_oid"", ""excpt_lngth"": ""excpt_lngth"", ""actvt_nm"": ""actvt_nm"", ""agnt_c_oid"": ""agnt_c_oid"", ""asa_c_oid"": ""asa_c_oid"", ""c_nm"": ""c_nm"", ""util_grp"": ""util_grp"", ""ot_ind"": ""ot_ind"", ""excs_time_ind"": ""excs_time_ind"", ""iex_cntrlble_ind"": ""iex_cntrlble_ind"", ""opn_ind"": ""opn_ind"", ""unon_ind"": ""unon_ind"", ""trng_ind"": ""trng_ind"", ""shft_start_tm"": ""shft_start_tm"", ""shft_end_tm"": ""shft_end_tm"", ""actvt_start_tm"": ""actvt_start_tm"", ""actvt_end_tm"": ""actvt_end_tm"", ""excl_ind"": ""excl_ind"", ""src_updt_ts"": ""src_updt_ts"", ""src_data_dt"": ""src_data_dt""}",No,,No,No,"{""ctrl_dt"": ""to_date(yyyy-mm-dd)"", ""src_load_ts"": ""to_timestamp()"", ""cust_nm"": ""trim"", ""prtn_nm"": ""trim"", ""cust_id"": ""trim"", ""c_agnt_schd"": ""trim"", ""c_excpt"": ""trim"", ""mgt_unit_id"": ""trim"", ""mgt_unit_nm"": ""trim"", ""src_rep_id"": ""trim"", ""lgn_id"": ""trim"", ""prsn"": ""trim"", ""rep_nm"": ""trim"", ""sen_dt"": ""trim"", ""altrnt_sen_dt"": ""trim"", ""extrn_id"": ""trim"", ""prsnl_id"": ""trim"", ""excpt_oid"": ""trim"", ""excpt_lngth"": ""trim"", ""actvt_nm"": ""trim"", ""agnt_c_oid"": ""trim"", ""asa_c_oid"": ""trim"", ""c_nm"": ""trim"", ""util_grp"": ""trim"", ""ot_ind"": ""trim"", ""excs_time_ind"": ""trim"", ""iex_cntrlble_ind"": ""trim"", ""opn_ind"": ""trim"", ""unon_ind"": ""trim"", ""trng_ind"": ""trim"", ""shft_start_tm"": ""trim"", ""shft_end_tm"": ""trim"", ""actvt_start_tm"": ""trim"", ""actvt_end_tm"": ""trim"", ""excl_ind"": ""trim"", ""src_updt_ts"": ""to_timestamp()"", ""src_data_dt"": ""to_date(yyyy-mm-dd)""}"
qfi_vrint_prep,"src_nm,srvr_src_nm,attuid,montr_trans_id,montr_start_dt_tm,ani,montr_dur,montr_type,montr_desc,dnis,BTN,acct_nbr","{""src_nm"": ""src_nm"", ""srvr_src_nm"": ""svr_src_nm"", ""attuid"": ""attuid"", ""montr_trans_id"": ""montr_trans_id"", ""montr_start_dt_tm"": ""montr_strt_ts"", ""ani"": ""autmtc_nbr_id"", ""montr_dur"": ""montr_dur"", ""montr_type"": ""montr_type"", ""montr_desc"": ""montr_desc"", ""dnis"": ""diald_nbr_id"", ""BTN"": ""btn"", ""acct_nbr"": ""acct_nbr""}",No,,No,Yes,"{""montr_strt_ts"": ""to_timestamp(YYYY-MM-DDBHH:MI:SS.S(0))""}"
cde_histcl_calc_var_prep,"calc_dt,idx_grp_id,hier_afnty_id,nbr_of_cnt,medn_val,mnm_val,upr_bnd_qtr_1,upr_bnd_qtr_2,upr_bnd_qtr_3,mx_val,intrqtl_rng_val,bus_unit_mltpyr_intrqtl_rng_val,intrqtl_rng_mltpyr_val,intrqtl_rng_thrshld_val,st_dvtn_val,varn_val,mean_val,bus_unit_mltpyr_st_dvtn_val,st_dvtn_thrshld_val,bus_unit_wk_nbr,start_dt,end_dt,contct_kpi_id,tot_contct_val,tot_crdts_val,mnm_idx_dt,mx_idx_dt,day_mnm_idx_dt,day_mx_idx_dt,diff_idx_dt,mnm_idx_excl_flg,mx_idx_excl_flg,bus_unit_afnty_excl_flg,attuid","{""calc_dt"": ""calc_dt"", ""idx_grp_id"": ""idx_grp_id"", ""hier_afnty_id"": ""hier_afnty_id"", ""nbr_of_cnt"": ""nbr_of_cnt"", ""medn_val"": ""medn_val"", ""mnm_val"": ""mnm_val"", ""upr_bnd_qtr_1"": ""upr_bnd_qtr_1"", ""upr_bnd_qtr_2"": ""upr_bnd_qtr_2"", ""upr_bnd_qtr_3"": ""upr_bnd_qtr_3"", ""mx_val"": ""mx_val"", ""intrqtl_rng_val"": ""intrqtl_rng_val"", ""bus_unit_mltpyr_intrqtl_rng_val"": ""bus_unit_mltpyr_intrqtl_rng_val"", ""intrqtl_rng_mltpyr_val"": ""intrqtl_rng_mltpyr_val"", ""intrqtl_rng_thrshld_val"": ""intrqtl_rng_thrshld_val"", ""st_dvtn_val"": ""st_dvtn_val"", ""varn_val"": ""varn_val"", ""mean_val"": ""mean_val"", ""bus_unit_mltpyr_st_dvtn_val"": ""bus_unit_mltpyr_st_dvtn_val"", ""st_dvtn_thrshld_val"": ""st_dvtn_thrshld_val"", ""bus_unit_wk_nbr"": ""bus_unit_wk_nbr"", ""start_dt"": ""start_dt"", ""end_dt"": ""end_dt"", ""contct_kpi_id"": ""contct_kpi_id"", ""tot_contct_val"": ""tot_contct_val"", ""tot_crdts_val"": ""tot_crdts_val"", ""mnm_idx_dt"": ""mnm_idx_dt"", ""mx_idx_dt"": ""mx_idx_dt"", ""day_mnm_idx_dt"": ""day_mnm_idx_dt"", ""day_mx_idx_dt"": ""day_mx_idx_dt"", ""diff_idx_dt"": ""diff_idx_dt"", ""mnm_idx_excl_flg"": ""mnm_idx_excl_flg"", ""mx_idx_excl_flg"": ""mx_idx_excl_flg"", ""bus_unit_afnty_excl_flg"": ""bus_unit_afnty_excl_flg"", ""attuid"": ""attuid""}",No,,No,Yes,"{""calc_dt"": ""to_date(YYYY-MM-DD)"", ""idx_grp_id"": ""trim"", ""hier_afnty_id"": ""trim"", ""nbr_of_cnt"": ""trim"", ""medn_val"": ""trim"", ""mnm_val"": ""trim"", ""upr_bnd_qtr_1"": ""trim"", ""upr_bnd_qtr_2"": ""trim"", ""upr_bnd_qtr_3"": ""trim"", ""mx_val"": ""trim"", ""intrqtl_rng_val"": ""trim"", ""bus_unit_mltpyr_intrqtl_rng_val"": ""trim"", ""intrqtl_rng_mltpyr_val"": ""trim"", ""intrqtl_rng_thrshld_val"": ""trim"", ""st_dvtn_val"": ""trim"", ""varn_val"": ""trim"", ""mean_val"": ""trim"", ""bus_unit_mltpyr_st_dvtn_val"": ""trim"", ""st_dvtn_thrshld_val"": ""trim"", ""bus_unit_wk_nbr"": ""trim"", ""start_dt"": ""to_date(YYYY-MM-DD)"", ""end_dt"": ""to_date(YYYY-MM-DD)"", ""contct_kpi_id"": ""trim"", ""tot_contct_val"": ""trim"", ""tot_crdts_val"": ""trim"", ""mnm_idx_dt"": ""to_date(YYYY-MM-DD)"", ""mx_idx_dt"": ""to_date(YYYY-MM-DD)"", ""day_mnm_idx_dt"": ""trim"", ""day_mx_idx_dt"": ""trim"", ""diff_idx_dt"": ""trim"", ""mnm_idx_excl_flg"": ""trim"", ""mx_idx_excl_flg"": ""trim"", ""bus_unit_afnty_excl_flg"": ""trim"", ""attuid"": ""trim""}"
ofe_offr_dtl_prep,"offr_id,offr_grp,prpstn_grp_txt,prpstn_txt,bllr_type,prpstn_grp,prpstn_nm,pitch_type,bhvr_desc,resp_desc,evt_type,offr_type","{""offr_id"": ""offr_id"", ""offr_grp"": ""offr_grp"", ""prpstn_grp_txt"": ""prpstn_grp_txt"", ""prpstn_txt"": ""prpstn_txt"", ""bllr_type"": ""bllr_type"", ""prpstn_grp"": ""prpstn_grp"", ""prpstn_nm"": ""prpstn_nm"", ""pitch_type"": ""pitch_type"", ""bhvr_desc"": ""bhvr_desc"", ""resp_desc"": ""resp_desc"", ""evt_type"": ""evt_type"", ""offr_type"": ""offr_type""}",No,,No,Yes,"{""offr_id"": ""trim"", ""offr_grp"": ""trim"", ""prpstn_grp_txt"": ""trim"", ""prpstn_txt"": ""trim"", ""bllr_type"": ""trim"", ""prpstn_grp"": ""trim"", ""prpstn_nm"": ""trim"", ""pitch_type"": ""trim"", ""bhvr_desc"": ""trim"", ""resp_desc"": ""trim"", ""evt_type"": ""trim"", ""offr_type"": ""trim""}"
hbomx_promo_tool_prep,"attuid,ban,promo_cd,hbo_promo_dt,hbo_promo_type,dlr_code","{""attuid"": ""attuid"", ""ban"": ""ban"", ""promo_cd"": ""promo_cd"", ""hbo_promo_dt"": ""hbo_promo_dt"", ""hbo_promo_type"": ""hbo_promo_type"", ""dlr_code"": ""dlr_code""}",No,,No,Yes,"{""attuid"": ""trim"", ""ban"": ""trim"", ""promo_cd"": ""trim"", ""hbo_promo_dt"": ""to_timestamp()"", ""hbo_promo_type"": ""trim"", ""dlr_code"": ""trim""}"
